statute_name,statute_description
18 § 2701 §§ A1,Simple Assault
18 § 911 §§ B4,"Consp To Vio 911b1, 911b2, 911b3"
18 § 3205 §§ A,Informed Consent Abortion
18 § 3304 §§ A5,Criminal Mischief - Damage Property
18 § 5511 §§ A1I,Cr Anim: Kill/Maim Domestic Animal
18 § 6318 §§ A1,Unlawful Contact With Minor - Sexual Offenses
18 § 2701 §§ B2,Simple Assault - Grading - Victim Under 12 Defendant 21 Or Older
75 § 3732 §§ A,Homicide By Vehicle
18 § 908.1 §§ A1,Uses Incapacitation Device
18 § 2901 §§ A3,Kidnap To Inflict Inj/Terror
18 § 6111 §§ G1,Penalties - Sales of Firearms
18 § 3125 §§ A7,Agg. Ind. Assault - Comp. Less Than 13 Years Old
18 § 5533 §§ A,Cruelty to Animals
18 § 4117 §§ A1,Fraud Document - Insuance Rate Determ
18 § 5511 §§ H.11,Animal Fighting - Amusement or Gain
18 § 2702.1 §§ A,Assault of Law Enforcement Officer
18 § 2901 §§ A2,Kidnap To Facilitate A Felony
18 § 3002 §§ A,Trafficking of Persons
18 § 3122.1 §§ B,Statutory Sexual Assault:  11 Years Older
75 § 3802 §§ D3*,DUI: Controlled Substance - Combination Alcohol/Drugs - 1st Offense
18 § 2718 §§ A1,Strangulation - Applying Pressure to Throat or Neck
75 § 3112 §§ A3I,Failure To Stop At Red Signal
18 § 1.4 §§ A,Alteration/Destruction Of Vin
18 § 2901 §§ A4,Kidnapping-Interfere W/Public Official
18 § 7306 §§ A,Own/Sell/Manuf/Trans Incend Dev
18 § 3502 §§ A4,"Burglary - Not Adapted for Overnight Accommodation, No Person Present"
18 § 3125 §§ 1,Aggrav Indec Asslt-W/O Cons
18 § 3504 §§ A1III,"Damage RR Property, infrastructure, or equipment"
75 § 3802 §§ A1***,DUI: Gen Imp/Inc of Driving Safely - 3rd Off
18 § 3123 §§ A6,IDSI Person Less Than 13 Yrs Age
18 § 3302 §§ A,Causing Catastrophe
18 § 3701 §§ A1IV,Robbery-Inflict Threat Imm Bod Inj
18 § 3926 §§ A1,Theft Of Services-Acquis Of Service
18 § 3012 §§ A,Involuntary Servitude
18 § 2902 §§ A2,Unlawful Restraint/ Involuntary Servitude
18 § 5902 §§ B.11,Promote Prostitution of Minor - Own/Control House
18 § 4302 §§ A,Incest
75 § 3802 §§ D1i*,DUI: Controlled Substance - Schedule 1 - 1st Offense
75 § 3734,Dr W/O Light To Avoid Ident Arrest
18 § 4108 §§ A,"Corrupt Employee, Agent, Fiduciary"
75 § 3742 §§ A,Accidents Involving Death Or Personal Injury
18 § 2713 §§ A2,Neglect Of Care Dependent Person
18 § 3125 §§ A3,Agg. Ind. Assault - Threat of Forcible Compulsion
18 § 6301 §§ A2,Corruption Of Minors
18 § 6105 §§ C8,Persons Not To Possess/Own Firearm
18 § 3502 §§ A1,"Burglary - Overnight Accommodation, Person Present"
18 § 4952 §§ A4,Intim Wit/Vict - False/Misl to Atty
18 § 5511 §§ H.2,Possession of Animal Fighting Paraphernalia
18 § 3502 §§ C1,Burglary
43 § 871 §§ A,Employee-False Stmts To Obtain U.C. Benefits
18 § 2709 §§ A3,Harassment - Course of Conduct W/No Legitimate Purpose
18 § 3701 §§ A1III,Robbery-Commit Threat 1st/2nd Deg Fel
18 § 2702 §§ A4,Aggravated Assault - Attempts to cause or causes BI with deadly weapon
18 § 5901,Open Lewdness
18 § 3125 §§ 8,Aggrav Indec Asslt/Person Less 16 Yrs Age
18 § 2501 §§ A,Criminal Homicide
18 § 2502 §§ C,Murder Of The Third Degree
18 § 4113 §§ A,Misapply Entrusted/Govt/Fin Inst Prop
18 § 2702 §§ A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals
18 § 3502 §§ A2,"Burglary - Overnight Accommodation, No Person Present"
18 § 4107 §§ A1,Dec Bus Pract - False Weight or Measure
18 § 3126 §§ A7,Ind Asslt Person Less 13 Yrs Age
4 § 1518 §§ A17,Unlawful to Take/Claim/Manipulate w/intent to Defraud/Cheat
4 § 1518 §§ A7.2,"Unlawful to Knowingly Alter, Tamper, Manipulate Gaming Devices to Alter Odds, or Disable"
4 § 1518 §§ A7.1ii,Knowingly by trick/fraud/manipulation win or reduce a loss
18 § 4302,Incest
18 § 2702 §§ A1,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference
18 § 3502 §§ A1I,"Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
18 § 7703,Alteration or Destruction of Vehicle Identification Number
18 § 4904 §§ A1,Unsworn Fals Auth Written Stmt
18 § 2713 §§ A1,Neglect Of Care-Dependent Person
18 § 5511 §§ C1*,Cruelty to Animals
75 § 3802 §§ A2*,DUI: Gen Imp (BAC .08 - .10) 1st Off
18 § 3304 §§ A1,"Crim Misch/Dmg Prop Intent, Reckless, Or Neglig"
18 § 4304 §§ A,Endangering Welfare Of Children
18 § 4107 §§ A2,Dec Bus Pract - Sale Less Than Quant
18 § 6105 §§ A.11,Penalty - Felony
75 § 3742.1 §§ A,Acc Involving Death/Person Injury-Not Properly Licensed
75 § 7704,Rules And Regulations
18 § 2709 §§ A2,Harassment - Follow In Public Place
75 § 3735 §§ A,Homi By Veh While Dr Under The Infl
18 § 2709.1 §§ A1,Stalking - Repeatedly Commit Acts To Cause Fear
18 § 5902 §§ D,Living Off Prostitutes
18 § 3123 §§ A1,IDSI Forcible Compulsion
18 § 2901 §§ A1,Kidnapping For Ransom
18 § 6161 §§ A,Carrying Explosives On Conveyances
18 § 3923 §§ A1,Theft Extort-Threat To Commit Anothr Crm
18 § 907 §§ B,Possession Of Weapon
72 § 9414 §§ 4,Selling Federally Illegal Explosives
75 § 6308 §§ D,Investigation/Records
18 § 6301 §§ A1i,Corruption Of Minors
18 § 5101,Obstruct Admin Law/Other Govt Func
18 § 4914 §§ A,False Identification To Law Enforcement Officer
18 § 6106.1 §§ A,Carrying Loaded Weapon
18 § 4108 §§ B,Corrupt Disinterested Person
18 § 6117 §§ A,Alter/Obliterate Mark Of Identification
18 § 4903 §§ A1,False Swearing - Offic Proceed
18 § 4952 §§ A3,Intimidate Witness/Victim - Withhold Testimony
18 § 7704,Disposition of Vehicle or Vehicle Part With Altered Vehicle Identification Number
18 § 3502 §§ A3,"Burglary - Not Adapted for Overnight Accommodation, Person Present"
18 § 6310 §§ A,Induce Minor Buy Liquor/Malt Bev
18 § 5511 §§ A2.1IA,Cruelty To Animals
18 § 2706 §§ A,Terroristic Threats
18 § 6105 §§ A.12,Intentionally/Knowingly Fails to Relinquish Firearm/Weapon to Sheriff Required by Order
18 § 3122.1 §§ A2,Statutory Sexual Assault:  8-11 Years Older
18 § 4302 §§ B2,Incest of Minor - Complainant 13-18 Years
18 § 4904 §§ B,Statement Under Penalty
75 § 3745 §§ A,Acci Dam To Unattended Veh Or Propert
18 § 2710 §§ A,Ethnic Intimidation
75 § 1543 §§ A,Driv While Oper Priv Susp Or Revoked
18 § 2502 §§ A,Murder Of The First Degree
18 § 6110.1 §§ C,Possession Of Firearm By Minor
18 § 4115,False Impreson Privately Employed Person
18 § 3126 §§ A2,Ind Asslt Forcible Compulsion
18 § 3124.3 §§ A,Sexual Assault by Sports Official
18 § 5506,Loitering And Prowling At Night Time
18 § 3125 §§ 7,Aggrav Indec Asslt/Person Less 13 Yrs Age
18 § 3121 §§ A3,Rape Unconscious Victim
18 § 2902 §§ 1,Unlaw Restraint/Risk Ser Injury
18 § 2706,Terroristic Threats
18 § 3122.1,Statutory Sexual Assault
18 § 2903 §§ C,False Imprisonment of Minor/Parent
75 § 3802 §§ B*,DUI: High Rte of Alc (Bac.10 - <.16) 1st Off
18 § 3301 §§ A1I,Arson-Danger Of Death Or Bodily Inj
18 § 5902 §§ B.16,Promote Prostitution of Minor - Transport Minor
18 § 3124.2 §§ A,Institutional Sexual Assault
18 § 4952 §§ A2,Intim Witness/Victim False/Misleading Testimony
35 § 780-113 §§ A35I,Sell Noncont Subs - Similar To Cont Subst
18 § 6111 §§ G4II,"Materially false written statement - purchase, delivery, transfer of firearm"
18 ยง 4114,Secure Execution Docs By Deception
18 § 5511 §§ H.13,Animal Fighting - Own/Possess Animal for Fighting
18 § 2903,False Imprisonment
18 § 3503 §§ B1I,Def Tres Actual Communication To
18 § 6318 §§ A5,Contact/Comm.W/Minor-Sexual Abuse
18 § 5903 §§ A2,Sell Obscene/Sexual Materials
18 § 2904 §§ A,Interference W/Custody Of Children
18 § 2701 §§ A2,Simple Assault
18 § 911 §§ B1,Corrupt Organizations
18 § 4953 §§ A,Retaliation Against Witness or Victim
18 § 3303 §§ 1,Fail To Prev Catast-Duty
18 § 4106 §§ A1II,Access Device Issd to Another Who Did Not Auth Use
18 § 1102 §§ C,"Attempt, Solicitation, Conspir Commit Murder"
18 § 7702 §§ 1,"Owning, Operating or Conducting a Chop Shop"
18 § 6105 §§ A2i,Person Not To Possess Use Etc. Firearms
18 § 4701 §§ A1,Bribery - Pecuniary Benefit
18 § 3126 §§ A3,Ind Asslt Threat Forcible Compulsion
18 § 2701 §§ B1,Simple Assault - Mutual Consent Fight
62 § 481 §§ A,Fraud Obt Foodstamps/Assistance
75 § 3802 §§ D3***,DUI: Controlled Substance - Combination Alcohol/Drug - 3rd Offense
18 § 5501 §§ 1,Riot-Intent To Commit Felony
18 § 2702 §§ A4,Aggravated Assault
18 § 5902 §§ B1,Prom Pros-Own House Of Prost/Or/Bus
18 § 2701 §§ B2,"Simple Assault - Grading, Victim Under 12 Defendant 18 or older"
18 § 6320 §§ A,Sexual Exploitation Of Children Offense Defined
18 § 3301 §§ D.1,Dangerous Burning
18 § 4101 §§ A2,Forgery-Unauthorized Act In Writing
18 § 2702 §§ A8,Aggravated Assault - Victim Less Than 6 and Defendant 18 or older
62 § 1407 §§ A12,Unentitled Reimbursement
18 § 3503 §§ B.11I,Criminal Trespass/Simple Trespasser
18 § 3929.3 §§ A,Organized retail theft
18 § 3922 §§ A2,Theft By Decept-Prevent Acqu Of Info
18 § 4952 §§ A6,Intim Wit/Vic - ABS Fr Lgl Pro
18 § 908.1 §§ A3,Prohibited Possession
18 § 4912,Impersonating A Public Servant
18 § 2502,Murder
75 § 3714 §§ A,Careless Driving
18 § 3307 §§ A.1,Institutional Vandalism/Illegal Possession
18 § 2906 §§ A1,Coerce/Threat To Commit Crime
18 § 3123 §§ A4,IDSI Person Substantially Impaired
18 § 3121 §§ D,Rape of Child - Serious Bodily Injury
75 § 3111 §§ A,Obedience to Traffic-Control Devices
75 § 4524 §§ E2II,Tinted Windows - Compliance W/ Fed. Regulations
18 § 2901 §§ A.11,Kidnapping of Minor - Ransom/Hostage
18 § 5902 §§ B.15,Promote Prostitution of Minor - Procure Minor Prostitute
18 § 4952 §§ A3,Intim Wit/Vict-Withhold Information
18 § 2907,Disposition Of Ransom
18 § 5903 §§ C1,Diss Explicit Sex Mat'l Minor
18 § 5121 §§ A,Escape
75 § 1543 §§ B1,Drg Lic Sus/Rev Purs to Sec 3802/1547B1
75 § 4706 §§ A,Prohib. On Expenditures for Emission Inspection
62 § 1407 §§ A6,Submit Claim Or Refer Improp Serv
18 § 4302 §§ B1,Incest of Minor - Complainant Under 13 Years
18 § 6318 §§ A6,Unlawful Contact W/ Minor - Sexual Exploitation
18 § 2504 §§ A,Involuntary Manslaughter
18 § 5112 §§ A,Obstructing Emergency Services
18 § 5902 §§ B3,Prom Pros-Encourage Prostitution
18 § 3125 §§ A4,Agg. Ind. Assault - Complainant is Unconscious or Unaware that Penetration is Occurring
18 § 3125 §§ A5,Agg. Ind. Assault - Person Impairs Complainant
18 § 6301 §§ A,Corruption Of Minors
18 § 3121 §§ A6,Rape Person Less Than 13 Years Old
18 § 908.1 §§ C,Prohibited Possession
18 § 6106 §§ A,Carrying Firearm Without A License
18 § 5902 §§ B.18,"Promote Prostitution of Minor - Soliciting, Receiving or Agreeing to Benefit"
18 § 3301 §§ A1II*,Arson - Inhabited Building or Struct
18 § 5122 §§ A1,Introduce Weapon May Be Use Escape
18 § 4955,Violation of Protective Order
18 § 3125 §§ 2,Aggrav Indec Asslt/Forcible Compulsion
18 § 3301 §§ C1,Arson-Intent Destroy Unoccupied Bldg
75 § 3802 §§ D2***,DUI: Controlled Substance - Impaired Ability - 3rd Offense
18 § 4911 §§ A2,Tamper With Public Record/Information
18 § 5503 §§ A3,Disorder Conduct Obscene Lang/Gest
18 § 4958 §§ A2ii,Intimidates or intends to intimidate person from providing or withholding information
18 § 2718 §§ A2,Strangulation - Blocking the Nose and Mouth of the Person
18 § 908.1 §§ A2,Possesses Incapacitation Device W/ Int
18 § 5902 §§ B.12,Promote Prostitution of Minor - Procure Inmate
18 § 4952 §§ A5,Intim Witness/Victim Elude/Evade/Ignore
18 § 2702 §§ A9,Aggravated Assault - Victim Less Than 13 and Defendant 18 or older
18 § 3121 §§ 6,Rape / Person Less Than 13 Years Age
18 § 2702 §§ A6,Aggravated Assault - Fear of Imminent SBI designated individuals
18 § 6318 §§ A1,Contact/Comm.W/Minor-Sexual Offenses
75 § 3802 §§ D1***,DUI: Controlled Substance or Metabolite 3rd Offense
18 § 6107,Carrying Firearm During Emergency
18 § 4116 §§ D,Retail Recorded Device
18 § 2503 §§ A1,Voluntary Mans - Provocation From Ind Killed
18 § 3121 §§ A4,Rape Substantially Impaired Person
18 § 3502 §§ C2,Burglary-Bldg W/O Overnight Accom.
75 § 4303 §§ B,No Rear Lights
18 § 5503 §§ A4,Disorder Conduct Hazardous/Physi Off
18 § 3935 §§ A,Theft of Secondary Metal
18 § 3502 §§ A1II,Burglary - Overnight Accommodations; Person Present
18 § 3922 §§ A3,Theft By Deception-Fail To Correct
18 § 6105 §§ C7,Person Not To Possess/Use Firearms - Delinquent
18 § 3123 §§ A3,IDSI Person Unconscious
18 § 5902 §§ E,Patronizing Prostitutes
18 § 4107 §§ A8,Dec Bus Pract - False/Mis Stat Inves
18 § 6105 §§ C2,Person Not To Possess Use Etc Firearm
18 § 3125 §§ 3,Aggrav Indec Asslt/Threat Forcible Compulsion
18 § 3131 §§ A,Unlawful Dissemination of Intimate Image
18 § 4116 §§ E,Copy/Record - Must Contain Mfr Name
18 § 5902 §§ B.13,Promote Prostitution of Minor - Encourage Minor
75 § 3367 §§ B,Illegal Racing
18 § 6121 §§ A,Use/Posses Prohibited Bullets
18 § 3126 §§ A5,Indecent Assault Person Substantially Impaired
72 § 7353 §§ C,Fail To Keep/File Reg'd Per Inc Tax Rec
18 § 6312 §§ B2,"Photograph/Film/Depict on Computer Sex Act - Knowingly Depicts on Computer, Photo, etc"
18 § 3011 §§ B,Trafficking in Minors
62 § 1408 §§ A1,Recipient Prohibited Acts-False Stmt
18 § 2910 §§ A,Lure Child Into Motor Vehicle
75 § 3323 §§ B,Duties At Stop Sign
18 § 2702 §§ A1,Aggravated Assault
18 § 3126 §§ A4,Ind Asslt Person Unconscious
75 § 4703 §§ A,Operat Veh W/O Valid Inspect
18 § 6310.1 §§ A,Sell/Furnish Liquor Etc Minor
18 § 5104.1 §§ A1,Disarming Law Enforcement Officer - Without Lawful Authorization
18 § 2606 §§ A,Agg. Assault Of Unborn Child
18 § 3301 §§ D2,"Reckless Burning or Exploding - places property having value that exceeds $5000 or automobile, place"
18 § 2702 §§ A2,Aggravated Assault - Attempts to cause or causes SBI to designated individuals
75 § 3802 §§ D1iii*,DUI: Controlled Substance - Metabolite - 1st Offense
18 § 5902 §§ A1,Prom Pros-Inmate In House Of Prost/Business
18 § 5105 §§ A1,Hinder App/Prosec-Harbor Or Conceal
18 § 5902 §§ B2,Prom Pros-Procure Inmate For House
18 § 3503 §§ B1II,Def Tres Posted
18 § 2902 §§ C2,Unlawful Restraint of Minor/Parent - Involuntary Servitude
75 § 7112,False Rep Theft/Conversion Of Veh Police
18 § 3929 §§ A4,Retail Theft - Under ring
75 § 3742.1 §§ A1,Accidents Involving Death or Injury While Not Licensed
18 § 5514 §§ 1,Engage In Pool Selling/Bookmaking
18 § 3122,Statutory Rape
18 § 4117 §§ A6,Health Care Facility Ins Fraud
75 § 3802 §§ D1ii*,DUI: Controlled Substance - Schedule 2 or 3 - 1st Offense
73 § 517.8 §§ A2,Receives Advance Payment For Services and Fails to Perform
18 § 2503 §§ B,Voluntary Mans - Unreasonable Belief
18 § 2901 §§ A.12,Kidnapping of Minor - Facilitate Felony/Flight
18 § 3212 §§ B,Infanticide
18 § 903,Conspiracy
18 § 2705,Recklessly Endangering Another Person
18 § 5104,Resist Arrest/Other Law Enforce
18 § 6108,Carry Firearms Public In Phila
18 § 901 §§ A,Criminal Attempt
18 § 903 §§ C,Conspiracy
18 § 907 §§ A,Poss Instrument Of Crime W/Int
18 § 2701 §§ A,Simple Assault
18 § 2702 §§ A,Aggravated Assault
18 § 3502 §§ A,Burglary
18 § 3921 §§ A,Theft By Unlaw Taking-Movable Prop
18 § 3925 §§ A,Receiving Stolen Property
18 § 3928 §§ A,Unauth Use Motor/Other Vehicles
18 § 7512 §§ A,Criminal Use Of Communication Facility
18 § 2706 §§ A1,Terroristic Threats W/ Int To Terrorize Another
18 § 2706 §§ A1,Terroristic Threats W/ Int to Terrorize Another
18 § 3304 §§ A2,Crim'l Misch-Tamper W/Property
18 § 3304 §§ A4,Criminal Mischief
18 § 3922 §§ A1,Theft By Decep-False Impression
18 § 3929 §§ A1,Retail Theft-Take Mdse
18 § 4101 §§ A1,Forgery - Alter Writing
18 § 4101 §§ A1,Forgery-Alter Writing
18 § 6105 §§ A1,Possession Of Firearm Prohibited
18 § 6106 §§ A1,Firearms Not To Be Carried W/O License
18 § 3503 §§ A1I,Crim Tres-Enter Structure
18 § 3701 §§ A1I,Robbery-Inflict Serious Bodily Injury
75 § 3802 §§ A1*,DUI: Gen Imp/Inc of Driving Safely - 1st Off
75 § 3802 §§ D1*,DUI: Controlled Substance or Metabolite 1st Offense
75 § 3802 §§ D2*,DUI: Controlled Substance - Impaired Ability - 1st Offense
18 § 3503 §§ A1II,Crim Tres-Break Into Structure
18 § 3701 §§ A1II,Robbery-Threat Immed Ser Injury
35 § 780-113 §§ A16,Int Poss Contr Subst By Per Not Reg
35 § 780-113 §§ A30,"Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
35 § 780-113 §§ A31,Poss Of Marijuana
35 § 780-113 §§ A32,Use/Poss Of Drug Paraph
18 § 5123 §§ A,Contraband/Controlled Substance
42 ยง 9134,Arrest Prior To Requisition
18 § 4915 §§ A1,Failure to Comply With Registration of Sexual Offender Requirements
18 ยง 2705,Recklessly Endangering Another Person
18 § 4119 §§ A3,Trademark Counterfeiting - Offers for Sale
18 § 2703.1,Aggravated Harassment By Prisoner
18 § 5503 §§ A2,Disorderly Conduct-Unreasonable Noise
18 § 6106 §§ A2,Firearm Not To Be Carried W/O License-No Crim Viol
18 § 1.3 §§ 1,Owning Operating Conducting A Chop Shop
18 § 4119 §§ A1,Trademark Counterfeiting - Manufactures
18 § 7509 §§ B,Furnishing Drug Free Urine-Use Or Attempt
18 § 5502,Fail To Disperse Upon Off'l Order
18 § 4915 §§ A2,Verify Address or Photographed as Required
18 ยง 5506,Loitering And Prowling At Night Time
47 § 4-491 §§ 1,Unlawful Sales Of Liquor
18 § 5123 §§ C,Contraband/Non-Controlled Substan
75 § 3802 §§ A1**,DUI: Gen Imp/Inc of Driving Safely - 2nd Off
18 § 912 §§ A,Possess Weapon On School Property
47 § 4-492 §§ 1,Manuf Malt/Brewed Bev W/O License
18 § 5503 §§ B,Disorderly Conduct / Grading
18 ยง 903,Conspiracy
18 § 3701 §§ A1VI,Robbery - demand money from financial institution
18 ยง 6108,Carry Firearms Public In Phila
18 § 3123 §§ A5,IDSI Person W/Mental Disability
18 § 5507 §§ A,Obstruction Highways
18 § 3503 §§ B1v,Def  Tres Actual Communication to Leave School
18 § 6318 §§ A2,Unlawful Contact With Minor - Open Lewdness
75 § 3735 §§ A1i,Homicide by Vehicle While DUI
35 § 780-113 §§ A18,Sell Controlled Substance W/O Label
18 § 4915.2 §§ A2,Fail to Verify Address/Be Photographed
18 ยง 5104,Resist Arrest/Other Law Enforce
75 § 3802 §§ C****,DUI: Highest Rte of Alc (BAC .16+) 4th Off & Sub
75 § 3802 §§ D1**,DUI: Controlled Substance or Metabolite 2nd Offense
18 § 5903 §§ A1,Display Obscene/Sexual Materials
75 § 3802 §§ C**,DUI: Highest Rte of Alc (BAC .16+) 2nd Off
18 § 5512 §§ B1,Set Up Lottery Or Numbers Game
18 § 4116 §§ B1,Unauth Trans Sounds Record Device
18 § 2709 §§ A5,Harassment - Comm. Repeatedly in Anonymous Manner
18 § 3503 §§ B1III,Def Tres Fenced/Enclosed
75 § 3802 §§ C***,DUI: Highest Rte of Alc (BAC .16+) 3rd Off
18 § 5123 §§ A.2,"Possess Control Subs, Contraband/Inmate"
18 § 3301 §§ D1,Reckless Burning or Exploding - places uninhabited or unoccupied structure in danger of damage or de
18 ยง 2703.1,Aggravated Harassment By Prisoner
18 § 5513 §§ A1,Gambling Devices
18 § 5123 §§ C.2,Contraband - Poss of Telecom Device By Inmate
18 ยง 5101,Obstruct Admin Law/Other Govt Func
35 § 780-113 §§ A35,Poss W/Int To Distr Nc Subs Res Contr
35 § 780-114,Dist Controlled Subs To Person Under 18
35 § 780-113 §§ A33,Deliver/Intent To Del Drug Para
