statute,title_id,title_text,level_1_id,level_1_text,level_2_id,level_2_text,level_3_id,level_3_text,level_4_id,level_4_text,section_id,section_text
03_601,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,601, scope of chapter.
03_602,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,602, legislative intent.
03_603,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,603, definitions.
03_604,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,604, general authority of commission.
03_605,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,605, agriculture-linked investment program.
03_606,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,606, liability.
03_607,03,agriculture,part i, general provisions,chapter 6, agriculture-linked investment program,-,-,-,-,607, funding cap.
03_701,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,701, scope of chapter.
03_702,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,702, definitions.
03_703,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,703, administration.
03_704,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,704, growth and cultivation.
03_705,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,705, control orders.
03_706,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,706, noncriminal offense.
03_707,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,707, criminal and civil penalties.
03_708,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,708, disposition of funds.
03_709,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,709, abrogation of regulation.
03_710,03,agriculture,part i, general provisions,chapter 7, industrial hemp research,-,-,-,-,710, expiration.
03_901,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,901, scope of chapter.
03_902,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,902, definitions.
03_903,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,903, establishment.
03_904,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,904, duties.
03_905,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,905, membership.
03_906,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,906, meetings.
03_907,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,907, payments to members.
03_908,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,908, administrative support.
03_909,03,agriculture,part i, general provisions,chapter 9, pennsylvania dairy future commission,-,-,-,-,909, additional powers and duties.
03_1501,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter a, preliminary provisions,-,-,1501, scope of chapter.
03_1502,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter a, preliminary provisions,-,-,1502, definitions.
03_1511,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1511, designation of noxious weeds and controlled plants.
03_1512,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1512, permits.
03_1513,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1513, general permits.
03_1514,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1514, individual permits.
03_1515,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1515, prohibited acts.
03_1516,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1516, noxious weed control areas.
03_1517,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1517, control orders.
03_1518,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1518, compliance with orders.
03_1519,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1519, noxious weed list.
03_1520,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1520, fees.
03_1521,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1521, powers and duties of secretary and department.
03_1522,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1522, stop-sale orders.
03_1523,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1523, seizure and condemnation.
03_1524,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1524, appeal process.
03_1525,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1525, cooperation with other entities.
03_1526,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter b, regulation and administration,-,-,1526, rules and regulations.
03_1541,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1541, unlawful conduct.
03_1542,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1542," interference with inspector, agent or employee of department."
03_1543,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1543, enforcement and penalties.
03_1544,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1544, injunctive relief.
03_1545,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter c, enforcement,-,-,1545, de minimis violations.
03_1561,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter d, miscellaneous provisions,-,-,1561, disposition of funds.
03_1562,03,agriculture,part iii, plants and plant products,chapter 15, controlled plants and noxious weeds,subchapter d, miscellaneous provisions,-,-,1562, preemption.
03_2101,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2101, short title of chapter.
03_2102,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2102, definitions.
03_2103,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2103, chief apiary inspector.
03_2104,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2104, quarantines.
03_2105,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2105, registration of apiaries.
03_2106,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2106, inspection.
03_2107,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2107, diseases.
03_2108,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2108, infected shipments.
03_2109,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2109, prohibitions.
03_2110,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2110, free access.
03_2111,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2111, transportation.
03_2112,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2112, imported bees.
03_2113,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2113, penalties.
03_2114,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2114, civil penalties.
03_2115,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2115, injunctions.
03_2116,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2116, concurrent remedies.
03_2117,03,agriculture,part iv, animals and animal products,chapter 21, bees,-,-,-,-,2117, disposition of funds.
03_2301,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2301, short title of chapter.
03_2302,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2302," finding, policy and purpose."
03_2303,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2303, definitions.
03_2304,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2304, diagnostic services and research.
03_2305,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter a, general provisions,-,-,2305, keeping and handling of domestic animals.
03_2311,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2311, general authority.
03_2312,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2312, adoption of form of identification.
03_2313,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2313, certified copies.
03_2314,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2314," brand, tattoo or other form of identification as proof of ownership."
03_2315,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2315, disputes in custody or ownership.
03_2316,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2316, sale or assignment of form of identification.
03_2317,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2317, violations and penalty.
03_2318,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter b, identification of domestic animals,-,-,2318, fees and forfeiture.
03_2321,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2321, dangerous transmissible diseases.
03_2322,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2322," neoplastic diseases, metabolic diseases and heritable diseases."
03_2323,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2323, health requirements.
03_2324,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2324, safety of domestic animal feed.
03_2325,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2325," use of biologicals, antibiotics, genetic material, chemicals, diagnostic agents and"
03_2326,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2326, sanitation.
03_2327,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2327, disease surveillance and detection.
03_2328,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2328, entry on premises.
03_2329,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2329, quarantine.
03_2330,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2330, condemnation.
03_2331,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2331, indemnification.
03_2332,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2332, depopulation incentive.
03_2333,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2333, restriction on payment of indemnification and depopulation incentive.
03_2334,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2334, report on insurance or cost-sharing program.
03_2335,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter c," detection, containment or eradication of certain diseases",-,-,2335, contract growers.
03_2341,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2341, general authority.
03_2342,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2342, license of dealers and haulers.
03_2343,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2343, licensure of agents.
03_2344,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2344, verification of application.
03_2345,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2345, license fees.
03_2346,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2346, term of license.
03_2347,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2347, posting and display of license.
03_2348,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2348," denial, suspension or revocation of license."
03_2349,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter d," dealers, agents and haulers of domestic animals or dead domestic animals",-,-,2349, records and inspections.
03_2351,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2351, general authority.
03_2352,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2352, disposal of dead domestic animals.
03_2353,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2353, disposal of animal waste.
03_2354,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2354, licensure requirement of dead domestic animal disposal businesses.
03_2355,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2355, licensing procedure.
03_2356,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2356, conditions of licensure.
03_2357,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter e, disposal of dead domestic animals and animal waste,-,-,2357," denial, suspension or revocation of license."
03_2361,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter f, slaughter and processing of domestic animals,-,-,2361, general authority.
03_2362,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter f, slaughter and processing of domestic animals,-,-,2362, humane methods of slaughtering domestic animals.
03_2371,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2371, licensure requirement.
03_2372,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2372, application and fee.
03_2373,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2373, issuance of license.
03_2374,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2374, term of license and renewal.
03_2375,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2375, posting of license.
03_2376,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2376, heating certain garbage before feeding.
03_2377,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2377, prohibitions and conditions.
03_2378,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2378, inspections.
03_2379,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g, garbage feeding business,-,-,2379," notice to remedy and denial, suspension or revocation of license."
03_2380.1,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.1,definitions.
03_2380.2,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.2,license required.
03_2380.3,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.3,application.
03_2380.4,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.4,issuance.
03_2380.5,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.5,term; renewal.
03_2380.6,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.6,keeping and handling of cervids.
03_2380.7,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.7,periodic inspections.
03_2380.8,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.8,violations by licensees.
03_2380.9,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter g.1, cervidae livestock operations,-,-,2380.9,game and wildlife code and regulations.
03_2381,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2381, cooperation.
03_2382,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2382, regulations.
03_2383,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2383, enforcement and penalties.
03_2384,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2384," disposition of fees, fines and civil penalties."
03_2385,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2385, interference with officer or employee of department.
03_2386,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2386, civil remedy.
03_2387,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2387, inapplicability of penal cruelty to animals statutes.
03_2388,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2388, exemption for governmental entities.
03_2389,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter h, administrative provisions,-,-,2389, preemption of local laws and regulations.
03_2390,03,agriculture,part iv, animals and animal products,chapter 23, domestic animals,subchapter i, swine hunting preserves,-,-,2390, regulation of swine hunting preserves.
03_2501,03,agriculture,part iv, animals and animal products,chapter 25, animal exhibition sanitation,-,-,-,-,2501, definitions.
03_2502,03,agriculture,part iv, animals and animal products,chapter 25, animal exhibition sanitation,-,-,-,-,2502, sanitation standards.
03_2503,03,agriculture,part iv, animals and animal products,chapter 25, animal exhibition sanitation,-,-,-,-,2503, administration.
03_2504,03,agriculture,part iv, animals and animal products,chapter 25, animal exhibition sanitation,-,-,-,-,2504, penalty.
03_2701,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2701, definitions.
03_2702,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2702, registration.
03_2703,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2703, unlawful acts.
03_2704,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2704, preemption.
03_2705,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2705, duties.
03_2706,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2706, recordkeeping.
03_2707,03,agriculture,part iv, animals and animal products,chapter 27, taxidermists,-,-,-,-,2707, reporting.
03_3101,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3101, definitions.
03_3102,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3102, establishment.
03_3103,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3103, administration of program.
03_3104,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3104, application guidelines.
03_3105,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3105," grants, loans and tax credits."
03_3106,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3106, project certification.
03_3107,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3107, criteria for evaluation of applications.
03_3108,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3108," application, review and authorization by commission."
03_3109,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3109, assistance from county conservation districts.
03_3110,03,agriculture,part v, soil and conservation,chapter 31, conservation excellence grant program,-,-,-,-,3110, distribution of funds.
03_4101,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter a, general provisions,-,-,4101, short title of chapter.
03_4102,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter a, general provisions,-,-,4102, definitions.
03_4105,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4105, systems of weights and measures.
03_4106,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4106, state standards of weight and measure.
03_4107,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4107, office and working standards and equipment.
03_4108,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4108, director and inspectors of weights and measures.
03_4109,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4109, general powers and duties of department.
03_4110,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4110, specific powers and duties of department; regulations.
03_4111,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4111, testing and inspections of standards.
03_4112,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4112, general testing and inspections.
03_4113,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4113," registration of sellers, installers and repairers of weighing and measuring devices."
03_4114,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4114, registration and report of inspection and testing of weighing and measuring devices
03_4115,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4115, training program.
03_4116,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4116, investigations.
03_4117,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4117, inspection of packages.
03_4118,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4118," stop-use, stop-removal and removal orders."
03_4119,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4119, disposition of correct and incorrect apparatus.
03_4120,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4120, police powers; right of entry and stoppage.
03_4121,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4121, powers and duties of director and inspector.
03_4122,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4122," city and county sealers and deputy sealers of weights and measures; appointment, powers"
03_4123,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4123, city and county standards and equipment.
03_4124,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4124, concurrent jurisdiction.
03_4125,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4125, division of responsibilities.
03_4126,03,agriculture,part vi," development, marketing and",chapter 41, weights and measures,subchapter b, weights and measures generally,-,-,4126, duty of owners of incorrect apparatus.
